EVENT_KEY, PEAK_EVENT_TYPE, EVENT_DATE, START_TIMESTAMP, END_TIMESTAMP, HALF_HOUR_START_CD, HALF_HOUR_END_CD
1000240,DPR,17/01/2013 13:00,17/01/2013 12:00,17/01/2013 16:00,D25,D32
1000241,DPR,25/01/2013 14:00,25/01/2013 13:00,25/01/2013 17:00,D27,D34
1000242,DPR,8/02/2013 14:30,8/02/2013 13:30,8/02/2013 17:30,D28,D35
1000243,DPP,26/02/2013 14:00,26/02/2013 13:00,26/02/2013 15:00,D27,D30
1000244,DPR,7/03/2013 12:30,7/03/2013 11:30,7/03/2013 15:30,D24,D31
1000245,DPR,13/03/2013 14:00,13/03/2013 13:00,13/03/2013 17:00,D27,D34
1000246,DPR,22/03/2013 14:30,22/03/2013 13:30,22/03/2013 17:30,D28,D35
1000247,DPP,22/03/2013 14:30,22/03/2013 13:30,22/03/2013 17:30,D28,D35
1000248,DPR,28/03/2013 12:30,28/03/2013 11:30,28/03/2013 15:30,D24,D31
1000249,DPR,25/06/2013 16:00,25/06/2013 16:00,25/06/2013 18:00,D33,D36
1000250,DPR,24/07/2013 16:30,24/07/2013 16:30,24/07/2013 19:30,D34,D39
1000251,DPR,2/08/2013 16:30,2/08/2013 16:30,2/08/2013 19:30,D34,D39
1000252,DPR,8/08/2013 16:30,8/08/2013 16:30,8/08/2013 20:00,D34,D40
1000253,DPR,22/08/2013 17:00,22/08/2013 17:00,22/08/2013 20:00,D35,D40
1000254,DPR,26/09/2013 15:00,26/09/2013 15:00,26/09/2013 18:30,D31,D37
1000255,DPP,10/10/2013 16:00,10/10/2013 14:00,10/10/2013 18:00,D29,D36
1000256,DPR,28/11/2013 15:00,28/11/2013 13:00,28/11/2013 17:00,D27,D34
1000257,DPP,28/11/2013 16:00,28/11/2013 14:00,28/11/2013 18:00,D29,D36
1000258,DPR,4/12/2013 14:00,4/12/2013 13:00,4/12/2013 17:00,D27,D34
1000259,DPP,9/12/2013 16:00,9/12/2013 14:00,9/12/2013 17:00,D29,D34
1000260,DPP,10/12/2013 16:30,10/12/2013 14:30,10/12/2013 16:30,D30,D33
1000261,DPR,16/01/2014 15:00,16/01/2014 13:00,16/01/2014 17:00,D27,D34
1000262,DPP,16/01/2014 16:30,16/01/2014 14:30,16/01/2014 17:30,D30,D35
1000263,DPP,29/01/2014 17:00,29/01/2014 15:00,29/01/2014 18:00,D31,D36
1000264,DPP,30/01/2014 17:00,30/01/2014 15:00,30/01/2014 18:00,D31,D36
1000265,DPR,31/01/2014 15:00,31/01/2014 13:00,31/01/2014 17:00,D27,D34
1000266,DPR,13/02/2014 15:00,13/02/2014 13:00,13/02/2014 17:00,D27,D34
1000267,DPP,13/02/2014 15:00,13/02/2014 13:00,13/02/2014 17:00,D27,D34
0,Not a Peak Event,,,,,
